type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:43,45.496256,-73.562444,-15.8,,
T,30/12/2017 20:43,45.496627,-73.562252,-13,,
T,30/12/2017 20:43,45.496835,-73.562143,-7.9,,
T,30/12/2017 20:44,45.496891,-73.562123,-14.5,,
T,30/12/2017 20:44,45.497122,-73.562,-14.8,,
T,30/12/2017 20:44,45.497418,-73.561843,-14.4,,
T,30/12/2017 20:44,45.497664,-73.56171,-14,,
T,30/12/2017 20:44,45.497753,-73.561674,-15.1,,
T,30/12/2017 20:44,45.498072,-73.561559,-13.8,,
T,30/12/2017 20:44,45.498311,-73.561408,-16.3,,
T,30/12/2017 20:44,45.498704,-73.561176,-17.2,,
T,30/12/2017 20:44,45.499053,-73.56092,-16,,
T,30/12/2017 20:44,45.499482,-73.560586,-16,,
T,30/12/2017 20:45,45.499884,-73.560286,-12.6,,
T,30/12/2017 20:45,45.500214,-73.560049,-11,,
T,30/12/2017 20:45,45.500514,-73.55985,-10.8,,
T,30/12/2017 20:45,45.500705,-73.55975,-7.5,,
T,30/12/2017 20:45,45.500893,-73.559797,-4.3,,
T,30/12/2017 20:45,45.500916,-73.559676,2.2,,
T,30/12/2017 20:45,45.500983,-73.559757,8.7,,
T,30/12/2017 20:45,45.501034,-73.559748,11.7,,
T,30/12/2017 20:45,45.501571,-73.559364,6,,
T,30/12/2017 20:45,45.501733,-73.55912,0.8,,
T,30/12/2017 20:46,45.502031,-73.55889,-2.2,,
T,30/12/2017 20:46,45.502282,-73.558767,-1.6,,
T,30/12/2017 20:46,45.502499,-73.55852,0,,
T,30/12/2017 20:46,45.502805,-73.558323,-4.9,,
T,30/12/2017 20:46,45.503037,-73.558208,-4.1,,
T,30/12/2017 20:46,45.503229,-73.558029,-1.6,,
T,30/12/2017 20:46,45.503432,-73.557895,-2.2,,
T,30/12/2017 20:46,45.503631,-73.557736,-3.4,,
T,30/12/2017 20:46,45.5038,-73.557651,-3.8,,
T,30/12/2017 20:46,45.503879,-73.557623,-1.7,,
T,30/12/2017 20:46,45.503985,-73.557551,0.6,,
T,30/12/2017 20:46,45.504058,-73.557479,8.2,,
T,30/12/2017 20:47,45.504131,-73.557427,7.8,,
T,30/12/2017 20:47,45.504209,-73.557374,12.9,,
T,30/12/2017 20:47,45.504297,-73.557354,14.1,,
T,30/12/2017 20:49,45.504335,-73.557242,15.3,,
T,30/12/2017 20:49,45.504414,-73.557188,17.1,,
T,30/12/2017 20:50,45.504488,-73.557219,26.1,,
T,30/12/2017 20:50,45.50465,-73.557081,21.4,,
T,30/12/2017 20:50,45.504724,-73.557011,21.6,,
T,30/12/2017 20:50,45.50478,-73.556911,16.3,,
T,30/12/2017 20:52,45.504839,-73.556835,17.4,,
T,30/12/2017 20:52,45.504991,-73.5567,11.7,,
T,30/12/2017 20:53,45.505073,-73.556675,13.7,,
T,30/12/2017 20:53,45.505153,-73.556635,11.6,,
T,30/12/2017 20:53,45.505238,-73.556608,5.8,,
T,30/12/2017 20:53,45.50531,-73.556582,7.1,,
T,30/12/2017 20:53,45.505383,-73.556522,6.7,,
