GPSHeading,GPSAltitude,GPSLatitude,VerticalAccuracy,TimeStamp,GPSLongitude,GPSSpeed,HorizontalAccuracy
0,-21,45.49489975,13,1514759429,-73.56124878,0,13
0,-21,45.49490356,14,1514759430,-73.56125641,0,14
0,-21,45.49489594,14,1514759431,-73.56125641,0,14
0,-21,45.49489975,13,1514759432,-73.56126404,0,13
0,-20,45.49490738,12,1514759433,-73.56126404,0,12
0,-20,45.49491119,12,1514759434,-73.56126404,0,12
0,-19,45.49491119,11,1514759435,-73.56126404,0,11
0,-18,45.49491501,11,1514759436,-73.56126404,0,11
0,-18,45.49491882,11,1514759437,-73.56126404,0,11
0,-18,45.49492264,10,1514759438,-73.56126404,0,10
0,-18,45.49492264,10,1514759439,-73.56126404,0,10
0,-17,45.49492264,10,1514759440,-73.56126404,0,10
0,-17,45.49492264,10,1514759441,-73.56126404,0,10
0,-17,45.49492264,10,1514759442,-73.56127167,0,10
0,-16,45.49492264,10,1514759443,-73.56127167,0,10
0,-16,45.49492264,10,1514759444,-73.56127167,0,10
0,-16,45.49492264,10,1514759445,-73.56127167,0,10
0,-16,45.49492264,10,1514759446,-73.56127167,0,10
0,-16,45.49492264,10,1514759447,-73.56127167,0,10
0,-16,45.49492264,10,1514759448,-73.56127167,0,10
0,-16,45.49492264,10,1514759449,-73.56127167,0,10
0,-16,45.49492264,10,1514759450,-73.56127167,0,10
0,-15,45.49492264,10,1514759451,-73.56127167,0,10
0,-15,45.49492645,10,1514759452,-73.56127167,0,10
0,-15,45.49492645,10,1514759453,-73.5612793,0,10
0,-15,45.49492645,10,1514759454,-73.5612793,0,10
0,-15,45.49492645,9,1514759455,-73.5612793,0,9
0,-15,45.49492645,9,1514759456,-73.5612793,0,9
0,-15,45.49492645,9,1514759457,-73.5612793,0,9
0,-15,45.49492645,9,1514759458,-73.5612793,0,9
0,-15,45.49492645,10,1514759459,-73.5612793,0,10
0,-15,45.49492645,9,1514759460,-73.5612793,0,9
0,-15,45.49492645,9,1514759461,-73.5612793,0,9
0,-15,45.49492645,9,1514759462,-73.5612793,0,9
0,-15,45.49492645,9,1514759463,-73.5612793,0,9
0,-15,45.49492645,9,1514759464,-73.5612793,0,9
216,-14,45.49488831,10,1514759465,-73.5613327,5.01953125,10
219,-12,45.4948616,10,1514759466,-73.56135559,3.419921875,10
220,-12,45.49481964,11,1514759467,-73.561409,4.509765625,11
197,-13,45.49470901,11,1514759468,-73.56141663,6.280273438,11
209,-14,45.49465561,11,1514759469,-73.56145477,5.58984375,11
206,-14,45.49451828,10,1514759470,-73.56156158,11.54003906,10
208,-13,45.49446487,10,1514759471,-73.56163025,8.190429688,10
209,-14,45.4943924,10,1514759472,-73.56168365,9.91015625,10
210,-16,45.49432373,10,1514759473,-73.56172943,8.650390625,10
212,-14,45.49425507,10,1514759474,-73.5617981,9.209960938,10
216,-15,45.49420547,10,1514759475,-73.56186676,7.349609375,10
222,-14,45.49414063,11,1514759476,-73.56195831,8.51953125,11
205,-13,45.49406815,10,1514759477,-73.56198883,7.540039063,10
205,-12,45.49400711,10,1514759478,-73.56202698,7.8203125,10
202,-12,45.493927,10,1514759479,-73.5620575,7.290039063,10
205,-11,45.49388123,10,1514759480,-73.56210327,6.360351563,10
205,-12,45.49380875,10,1514759481,-73.56213379,8.099609375,10
206,-13,45.49373245,10,1514759482,-73.56217957,8.849609375,10
205,-13,45.4936409,11,1514759483,-73.56222534,9.959960938,11
206,-13,45.49356461,10,1514759484,-73.56227112,9.120117188,10
205,-13,45.49345779,10,1514759485,-73.56229401,9.620117188,10
204,-13,45.49338531,11,1514759486,-73.56233978,8.700195313,11
